address,area,price
哈西-鲁商凤凰城,閏龥麣
学府-柒零捌零城仕公馆,龒鑶麣麣
哈达-西桥铁路小区,龒齤麣麣
哈西-西典家园,龒閏麣麣
西大直街-宣西电业小区,龥麣麣
哈西-华润凯旋门,龒龒龤麣
省人才-保利清华颐园,餼龒麣麣
哈西-壹品新境,餼鑶麣麣
哈西-新发小区(C区),餼餼麣麣
哈西-壹品新境,齤麣麣
宽城街-二酉住宅小区,龒麣麣麣
哈西-金水尚都(西区),龒龥龥麣
通达街-爱达尊御,龒齤麣麣
哈西-吉星小区,餼餼麣麣
哈西-创建小区,餼龥麣麣
红旗大街南岗段-金域蓝城,龒閏麣麣
学府-爱达尊御,鑶龥麣
哈西-西典家园,龒齤麣麣
哈西-宣化街97号院,餼閏麣麣
哈西-鸿朗花园,餼麣麣麣
宣化-沙曼四区,餼麣麣麣
哈西-雄师家园,龒龤麣麣
西大直街-蓝天嘉园,龒餼麣麣
哈西-东方新天地,鑶麣麣
宣化-大众新城,龒驋麣麣
哈西-西典家园,餼龥麣麣
大众新城-芦家街34号小区,龤麣麣麣
哈西-阳光家园(北区),齤龥麣
十字街-东辉明珠园,龤麣麣
哈西-学府经典,鸺麣麣
哈西-铁岭街小区,龤龥麣
学府-东方新天地,龒齤麣麣
秋林-东方新天地,龒龤麣麣
哈西-林园小区丽麓园,鸺鑶麣
哈西,餼驋麣麣
和兴路,龒餼麣麣
哈西-尚熙雅轩,餼龒龒
哈西-南郡香醍雅诺(一期),龤齤龒龒
哈西-巴黎第五区,鑶龤龒龒
哈西-爱达壹号(商住楼),龤龥龒龒
哈西-爱达尊御,龤齤龒龒
通达街-木兰小区,麣麣龒龒
哈西-爱达九溪,鑶齤龒龒
哈西-东方新天地,齤龒龒
哈西-壹品新境,麣餼龒龒
哈西-辰能溪树庭院(南区),鑶龥龒龒
学府-学府经典,麣閏龒龒
学府-北华家园,麣龒餼餼
哈西-爱达尊御,龤驋龒龒
分部街-分部街小区,麣龒龒龒
征仪路-征仪路花园小区(B区),龥龒龒
哈西-悦城,龤龥龒龒
哈西-金域蓝城,麣龥龒龒
哈西-西典家园,閏龒龒
哈西-东方新天地,龤閏龒龒
哈西-金域蓝城,閏齤龒
教化-复华小区,麣龥龒龒
哈达-鲁商凤凰城,龤龒龒龒
哈西-华润凯旋门,龤齤龒龒
哈西-东方新天地,閏齤龒
哈西-红星城,麣餼龒龒
哈西-爱达九溪,閏齤龒
哈西-辰能溪树庭院(南区),龤鑶龒龒
哈西-万达华宅(E区),閏齤龒
哈西-柒零捌零城仕公馆,麣龥齤龒
博物馆-松明街25号小区,龥龒龒
哈西-东辉明珠园,龥龒龒
哈西-东方新天地,龤鸺龒龒
哈西-爱达尊御,龤龤龒龒
分部街-文教街小区,餼龒龒
哈西-爱达88,龤龤龒龒
学府-学府经典,龤鸺龒龒
哈西-爱达尊御,鸺龒龒
哈西-君贵东方瑞景,麣鸺龒龒
哈西-爱达壹号,龤麣龒龒
哈西-金域蓝城,龤閏龒龒
省人才-宣信小区,麣龒龒
哈西-金水尚都(西区),麣麣龒龒
哈西-爱达壹号,龤麣龒龒
哈西-爱达尊御,麣齤龒龒
船舶-龙军小区,龤驋龒龒
哈西-万达华宅(E区),閏驋龒龒
哈西-万达华宅(E区),龤龒鸺龒
西大直街-西桥住宅小区,龤鑶龒龒
红旗大街南岗段-吉星小区,閏齤龒龒
学府-学府经典,麣閏龒龒
信恒现代城-远大中央公园,麣麣龒龒
哈西-天悦国际,鸺龒龒
西大直街-西桥住宅小区,餼龒龒
哈西-柒零捌零城仕公馆,龤龥龒龒
学府-学府花园,龤龒龒龒
哈西-壹品新境,閏餼齤龒
和兴路-仪兴小区(西区),鑶齤龒
哈西-爱达尊御,麣齤龒龒
省人才-宣庆小区,麣麣龒龒
儿童公园-巴陵街84号院,龥龒龒
哈西-君贵东方瑞景,鑶龒龒
哈西-金域蓝城,麣齤龒龒
西大直街-新曲线小区,麣龒龒
学府-学府经典,龤餼龒龒
西大直街-利群小区,鸺齤龒
哈西-金域蓝城,麣麣龒龒
哈西-鸿朗花园,龤龒龒龒
学府-学府经典,麣龒龒龒
信恒现代城-信恒花园,龤龒龒龒
哈西-辰能溪树庭院(南区),麣齤龒龒
哈西-东方新天地,齤麣麣
省人才-宣西电业小区,龒閏麣麣
哈西-保利颐和家园,鑶麣麣
哈西-爱达九溪,鸺龥麣
哈西-悦城,龒齤麣麣
南岗周边-美馨家园,龒龒麣麣
哈西-东方新天地,餼餼麣麣
学府-学府经典(一期),龒鸺麣麣
省政府南岗片-文林小区,龒龒龥麣
哈西-金海城,龒龤麣麣
哈西-西典家园,餼麣麣麣
奋斗-奋斗小区,龒麣麣麣
哈西-中交香颂,驋龤龤驋
哈达-鲁商松江新城,餼餼麣麣
信恒现代城-信恒现代城美园,龒餼麣麣
哈达-锦绣华城,餼餼麣麣
和兴路-和兴家园,齤龥麣
哈西-东方新天地,龒麣龤麣
哈西-东方新天地,鑶龤麣
学府-科大安居小区,鸺麣麣
哈西-辰能溪树庭院(南区),龒龒鑶麣
哈西-辰能溪树庭院(南区),餼龥麣麣
哈西-东辉明珠园,閏麣麣
洁净街-洁净街小区,龒鸺龥麣
哈西-中海雍景熙岸,龤龤麣麣
哈西-西典家园,鸺麣麣
哈西-尚熙雅轩,鑶麣麣
哈达-凡尔赛诗城,龒龤麣麣
哈西-涧桥西畔,餼麣麣麣
哈西-天悦国际,齤麣麣
哈西-天悦国际,餼龥麣麣
学府-科大安居小区,龒龥麣麣
学府-学府经典,餼驋麣麣
哈西-东方新天地,閏麣麣
哈西-华润凯旋门,鑶麣麣
哈西-天悦国际,麣龒龒龒
哈西-壹品新境,餼齤龒
哈西-天悦国际,龤餼龒龒
奋斗-中和街小区,龤齤龒龒
哈西-柒零捌零城仕公馆,龤餼龒龒
西大直街-下夹树街小区,龤龒龒龒
哈西-辰能溪树庭院(南区),閏麣龒龒
大众新城-学院新城(一期),龤閏龒龒
哈西-辰能溪树庭院(北区),麣齤龒龒
大众新城-大众新城,龤餼齤龒
征仪路-征跃小区,龤齤龒龒
和兴路-和兴路师大家属楼,龤鑶龒龒
哈西-鸿朗花园(二期),龤鸺龒龒
哈西-爱达九溪,龤麣龒龒
宽城街-文化住宅小区,龤鑶龒龒
哈西-华润凯旋门,麣閏龒龒
哈西-恒大珺庭,閏麣龒龒
教化-西苑小区,龤齤齤龒
哈西-金域蓝城,龤餼龒龒
博物馆-河苑观景花园,龤麣龒龒
哈西-巴黎第五区,閏閏龒龒
哈西-枫蓝国际,龤麣龒龒
学府-学府经典,龤餼龒龒
和兴路-恒祥城(三期),鑶龒龒
哈西-南开华府,龤鑶龒龒
通达街-延兴路90号小区,麣閏龒龒
哈西-东方新天地,麣龤龒龒
哈西-爱达88,龤齤龒龒
哈西-爱达尊御,麣齤龒龒
哈西-东方新天地,龤龒龒龒
哈西-尚熙雅轩,龤齤龒龒
儿童公园-邮政街小区,鸺齤龒
哈西-金水尚都(西区),龤鸺龒龒
哈达-鲁商凤凰城,龤鸺龒龒
哈西-辰能溪树庭院(商住楼),驋龒龒龒
哈西-爱达尊御,麣龥龒龒
革新-革新街19号小区,麣龒龒龒
哈西-辰能溪树庭院(南区),龤龤龒龒
哈达-锦绣华城,龤龒龒龒
哈西-西典家园(北区),麣餼龒龒
哈西-中海雍景熙岸,麣龥龒龒
哈西-金域蓝城,麣驋齤龒
哈西-纳帕英郡,鑶龒龒龒
哈西-天悦国际,麣龥龒龒
十字街-芦家街小区,鸺龒龒
哈西-爱达尊御,餼龒龒
信恒现代城-信恒现代城美园,龤龤龒龒
哈西-保利清华颐园,麣龥龒龒
信恒现代城-信恒现代城雅园,龤龤龒龒
宣化-蓝天嘉园,龤龥龒龒
博物馆-满洲里街58号小区,龥齤龒
哈西-涧桥西畔,龤驋龒龒
南岗周边-骏赫庄园(别墅),麣鑶齤龒
哈西-天悦国际,麣龥龒龒
博物馆-比乐街41号小区,餼龒龒
哈西-黑龙江省政法管理干部学院...,閏龒龒
哈达-锦绣华城,龤龒龒龒
哈西-鸿朗花园(二期),麣鑶龒龒
儿童公园-新发小区(D区),龤鑶龒龒
和兴路-清明小区,麣鑶齤龒
西大直街-西桥住宅小区,麣鑶齤龒
哈西-天悦国际,麣龥龒龒
哈西-壹品新境,麣龥龒龒
学府-学府经典,龤麣龒龒
哈西-红星城,麣餼龒龒
哈西-君贵东方瑞景,龤鸺龒龒
和兴路-仪兴小区(西区),麣麣龒龒
省政府南岗片-文林小区,麣龤龒龒
秋林-鞍山街小区,麣驋龒龒
哈西-万达华宅(E区),齤龒龒龒
哈西-辰能溪树庭院(北区),驋齤龒龒
哈西-涧桥西畔,鸺龒龒
学府-学府经典,餼龒龒
哈西-爱达九溪,鑶龒龒
哈西-金爵万象(二三期),餼龒龒
船舶-文化家园,鸺龒龒
哈西-西沟街小区,龤齤龒龒
哈站-邮政街391号小区,龤驋龒龒
哈西-东方新天地,麣驋龒龒
学府-国测房产住宅楼,龤齤龒龒
哈西-壹品新境,麣麣龒龒
哈西-东方新天地,龤驋龒龒
哈西-金谷城(A区),龥龒龒
和兴路-和兴小区,齤鸺龒龒
哈西-涧桥西畔,麣齤龒龒
红旗大街南岗段-辽河新区,龤龤龒龒
哈西-鸿朗花园(二期),龤鑶龒龒
秋林-铁岭社区,龤麣龒龒
信恒现代城-信恒现代城美园,龤驋龒龒
学府-学府经典,龤鑶龒龒
哈西-金域蓝城,麣麣龒龒
西大直街-曲线小区,龤齤龒龒
哈西-天悦国际,麣齤龒龒
儿童公园-比乐街小区,龤鑶龒龒
哈西-柒零捌零城仕公馆,龤鸺龒龒
信恒现代城-信恒现代城美园,麣麣龒龒
哈西-壹品新境,龤鸺齤龒
哈西-西沟街小区,齤龒龒
哈西-西典家园,鑶鸺龒
西大直街-桥南小区,麣齤龒龒
哈西-涧桥西畔,麣龤龒龒
南岗周边-鑫泉金岗湾,龤齤龒龒
哈西-爱达尊御,麣麣龒龒
学府-黑大家属楼小区,麣龤龒龒
哈西-西城丽景,龤驋齤齤
哈西-恒大珺庭,餼閏麣麣
学府-学府经典(一期),餼齤麣麣
哈西-东方新天地,龒鸺鸺鸺
学府-学府花园,閏龥麣
哈西-金域蓝城,龒驋麣麣
学府-学府花园,龒餼麣麣
哈西-爱达88,餼閏麣麣
儿童公园-永新街小区,龒龥麣麣
哈西-红星城,餼麣麣麣
博物馆-文舍街1号小区,龒閏麣麣
哈西-涧桥西畔,鸺麣麣
哈西-西典家园(北区),齤麣麣
工人文化宫-文平街1号院,龒麣龥麣
通达街-七政公寓B栋,驋龥麣
哈西-涧桥西畔,餼麣麣麣
哈西-枫蓝国际,餼驋麣麣
哈西-枫蓝国际,餼閏麣麣
哈西-涧桥西畔,餼麣麣麣
哈西-西典家园,龒鑶龤龤
哈西-保利清华颐园,餼麣麣麣
哈西-汇龙北纬45度,龒鸺麣麣
西大直街-下夹树街小区,龒麣麣麣
征仪路-征仪路花园小区(B区),龒鑶麣麣
十字街-芦家街小区,齤麣麣
哈西-柒零捌零城仕公馆,龒驋龥麣
和兴三道街-康宁小区,龒龥麣麣
哈西-东方新天地,餼鑶麣麣
红旗大街南岗段-红旗新区(南岗),龒龒麣麣
哈西-西典家园,餼龤麣麣
哈西-西典家园,餼驋麣
哈西-天悦国际,餼龒麣麣
学府-学府花园,鑶龥麣
哈西-爱达壹号,餼龥麣麣
省政府南岗片-三文小区,驋麣麣麣
学府-大众新城(东区),餼麣麣麣
